,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
97,SingleProof,prove,noir_rs,16,8,174430.0,97.0,8945415680.0,21029475.120064408,6089256491.858426,50805799.25340271,4106325786.002814,22071958.906081535,SingleProof,174.43,8531.01318359375,8.331067562103271,8.331067562103271,8.331067562103271,174.43,174.43
68,SingleProof,prove,nargo,16,9,142490.33333333334,4009.6621220912507,7018435925.333333,9478732643.042383,2512574913.400256,2587752370.067915,2181773501.365951,3394685808.91469,SingleProof,142.49033333333335,6693.302083333333,6.536427815755208,6.536427815755208,6.536427815755208,142.49033333333335,142.49033333333335
98,SingleProof,prove,noir_rs,16,9,180282.0,507.7666787019408,10040295424.0,11902544.685922587,5954208313.895642,55184895.994922906,4192626710.1343255,40078528.94164056,SingleProof,180.282,9575.171875,9.350753784179688,9.350753784179688,9.350753784179688,180.282,180.282
69,SingleProof,prove,nargo,16,10,165929.33333333334,5409.525795606607,13896100522.666666,10715690930.966845,4502758494.550311,2969433891.6252527,4362362862.790527,3712238023.9057765,SingleProof,165.92933333333335,13252.354166666666,12.941752115885416,12.941752115885416,12.941752115885416,165.92933333333335,165.92933333333335
99,SingleProof,prove,noir_rs,16,10,187513.33333333334,132.0656402450407,10208821248.0,31094410.561150827,5833170864.136588,17965027.995799325,4318082366.85797,16073935.462639155,SingleProof,187.51333333333335,9735.890625,9.507705688476562,9.507705688476562,9.507705688476562,187.51333333333335,187.51333333333335
70,SingleProof,prove,nargo,24,1,8693.0,1936.4338356886867,622007637.3333334,517935320.711219,385539326.0265944,192139305.75482404,119029038.08138573,98809628.46185324,SingleProof,8.693,593.1927083333334,0.5792897542317709,0.5792897542317709,0.5792897542317709,8.693,8.693
100,SingleProof,prove,noir_rs,24,1,25986.333333333332,488.8571706882626,1290660522.6666667,11592097.794119775,765743077.8858528,19063433.502904322,539970281.2790594,3407693.350883751,SingleProof,25.98633333333333,1230.8697916666667,1.2020212809244792,1.2020212809244792,1.2020212809244792,25.98633333333333,25.98633333333333
71,SingleProof,prove,nargo,24,2,20404.0,2785.5536254037543,1401301674.6666667,1433702715.699046,695891127.392991,404791298.03293157,263747670.93039683,296400527.2476975,SingleProof,20.404,1336.3854166666667,1.3050638834635417,1.3050638834635417,1.3050638834635417,20.404,20.404
101,SingleProof,prove,noir_rs,24,2,51911.666666666664,236.65234698463024,2556745045.3333335,12058683.362172721,1488193104.0302925,11446305.835425336,1064667911.1853884,17044913.411461767,SingleProof,51.91166666666666,2438.3020833333335,2.3811543782552085,2.3811543782552085,2.3811543782552085,51.91166666666666,51.91166666666666
72,SingleProof,prove,nargo,24,3,42222.0,248.15116360799118,6133830997.333333,174552752.60947162,2233871747.623805,101524466.02073447,1201771779.4746537,37051959.30543284,SingleProof,42.222,5849.677083333333,5.712575276692708,5.712575276692708,5.712575276692708,42.222,42.222
102,SingleProof,prove,noir_rs,24,3,89814.33333333333,909.4087823049281,4882131626.666667,9719376.756833239,2966023266.9566207,27156437.76013337,2030475434.291834,2974763.9895682456,SingleProof,89.81433333333332,4655.963541666667,4.5468393961588545,4.5468393961588545,4.5468393961588545,89.81433333333332,89.81433333333332
73,SingleProof,prove,nargo,24,4,55303.0,2152.9914073214504,6666807978.666667,4910417774.84174,1967972950.495148,1064775478.8483804,1543959005.2559156,1225117886.831636,SingleProof,55.303,6357.963541666667,6.2089487711588545,6.2089487711588545,6.2089487711588545,55.303,55.303
103,SingleProof,prove,noir_rs,24,4,98268.66666666667,834.2669436896898,5086341802.666667,38853125.97901178,2921237674.5842786,47606528.059805214,2120608612.3118374,6162641.216864558,SingleProof,98.26866666666668,4850.713541666667,4.7370249430338545,4.7370249430338545,4.7370249430338545,98.26866666666668,98.26866666666668
74,SingleProof,prove,nargo,24,5,74200.33333333333,654.768915979776,9380222293.333334,7260998703.141619,2722930968.479371,1703311366.352481,2172262140.9908996,1813936468.3489227,SingleProof,74.20033333333333,8945.677083333334,8.736012776692709,8.736012776692709,8.736012776692709,74.20033333333333,74.20033333333333
104,SingleProof,prove,noir_rs,24,5,107681.33333333333,656.7589613650766,5239351978.666667,30759555.365355678,2792231751.8384933,6173335.040028176,2211833350.980155,24570405.84137805,SingleProof,107.68133333333333,4996.635416666667,4.879526774088542,4.879526774088542,4.879526774088542,107.68133333333333,107.68133333333333
75,SingleProof,prove,nargo,24,6,106518.66666666667,2441.238688316512,10358292480.0,7722008055.381083,3215023164.0173817,2041322555.270683,2864782177.3044333,2287559168.993015,SingleProof,106.51866666666668,9878.4375,9.64691162109375,9.64691162109375,9.64691162109375,106.51866666666668,106.51866666666668
105,SingleProof,prove,noir_rs,24,6,180995.66666666666,356.41876119717955,9865882282.666666,61844357.62118284,5933199975.882149,36592566.06391956,4061160150.948774,42961334.934086,SingleProof,180.99566666666666,9408.838541666666,9.188318888346354,9.188318888346354,9.188318888346354,180.99566666666666,180.99566666666666
76,SingleProof,prove,nargo,24,7,130886.0,6818.857015658856,10362770773.333334,7711572644.96224,3341468477.638185,2017649952.7970288,3171821172.7186456,2560425684.952562,SingleProof,130.886,9882.708333333334,9.651082356770834,9.651082356770834,9.651082356770834,130.886,130.886
106,SingleProof,prove,noir_rs,24,7,187839.0,695.4847230529223,10037373610.666666,43245549.636922024,5870352648.700943,68683362.33495998,4158300287.734663,9689247.38890787,SingleProof,187.839,9572.385416666666,9.348032633463541,9.348032633463541,9.348032633463541,187.839,187.839
77,SingleProof,prove,nargo,24,8,154268.33333333334,1372.9545998806097,16294860117.333334,232335799.01060647,5218911864.088786,55539392.86996221,5381736971.218969,227119791.0884159,SingleProof,154.26833333333335,15539.989583333334,15.175771077473959,15.175771077473959,15.175771077473959,154.26833333333335,154.26833333333335
107,SingleProof,prove,noir_rs,24,8,198314.66666666666,801.1019494005353,10238279680.0,15032558.838429604,5795273018.435425,64673194.4390917,4263163615.1792445,30346384.790688973,SingleProof,198.31466666666665,9763.984375,9.535140991210938,9.535140991210938,9.535140991210938,198.31466666666665,198.31466666666665
78,SingleProof,prove,nargo,24,9,192739.0,13088.841774580362,11880923136.0,8657398542.407623,4139663970.935179,2538230915.6467237,3431971054.012653,2853908927.4155183,SingleProof,192.739,11330.53125,11.064971923828125,11.064971923828125,11.064971923828125,192.739,192.739
108,SingleProof,prove,noir_rs,24,9,211665.0,5062.963559023509,10363775658.666666,26428993.446001567,5590778823.6550455,9978714.603062931,4355684213.561059,7816246.542236402,SingleProof,211.665,9883.666666666666,9.652018229166666,9.652018229166666,9.652018229166666,211.665,211.665
