revocation_tree_height,#conditions,trial,proving_time,verifying_time,memory
32,1,0,10.556,10.458,
32,1,1,10.530,10.152,
32,1,2,12.562,11.605,
64,1,0,23.641,23.182,
64,1,1,24.884,23.559,
64,1,2,24.285,23.439,
32,2,0,29.466,28.729,
32,2,1,
32,2,2,



64,2,0,60.221,58.025,
64,2,1,60.841,58.147,
64,2,2,61.079,58.795,
