,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
87,SingleProof,verify,nargo,32,8,196718.33333333334,24457.170816211215,13565236565.333334,9982072040.904276,4689127967.8160515,3164098223.5870156,4330353550.610358,3596281032.69563,SingleProof,196.71833333333333,12936.817708333334,12.633611043294271,12.633611043294271,12.633611043294271,196.71833333333333,196.71833333333333
117,SingleProof,verify,noir_rs,32,8,5186.666666666667,231.83255451582576,2429670741.3333335,981719.2905945283,1501656220.6480925,36281606.35866835,991657215.202216,10509523.959045706,SingleProof,5.1866666666666665,2317.1145833333335,2.2628072102864585,2.2628072102864585,2.2628072102864585,5.1866666666666665,5.1866666666666665
88,SingleProof,verify,nargo,32,9,241156.33333333334,30996.806486045196,13255753728.0,9505513786.773338,5080097059.2134285,2994977421.4353027,4041941085.4232507,3402355980.525042,SingleProof,241.15633333333335,12641.671875,12.345382690429688,12.345382690429688,12.345382690429688,241.15633333333335,241.15633333333335
118,SingleProof,verify,noir_rs,32,9,5347.0,65.82552696332935,2932539392.0,12195057.057656106,1710736153.5297997,22537202.41770154,1221435730.881626,7343613.480753324,SingleProof,5.347,2796.6875,2.73114013671875,2.73114013671875,2.73114013671875,5.347,5.347
89,SingleProof,verify,nargo,32,10,308353.6666666667,40637.79448165628,14120932693.333334,10009777306.86651,4971214365.506877,2754752237.361568,4139564158.9096856,3481283563.1994367,SingleProof,308.3536666666667,13466.770833333334,13.151143391927084,13.151143391927084,13.151143391927084,308.3536666666667,308.3536666666667
119,SingleProof,verify,noir_rs,32,10,7290.333333333333,523.3587042682423,3470376960.0,7333171.651135953,2174207170.0956936,71186255.5340243,1376633935.7661602,23075715.36044301,SingleProof,7.290333333333333,3309.609375,3.2320404052734375,3.2320404052734375,3.2320404052734375,7.290333333333333,7.290333333333333
0,MultiProof,verify,nargo,16,1,7550.666666666667,1645.8627929852883,823050240.0,522966930.8249186,493299069.9153192,277235072.81601954,160029117.30962405,113067090.896032,MultiProof,7.550666666666667,784.921875,0.7665252685546875,0.7665252685546875,0.7665252685546875,7.550666666666667,7.550666666666667
30,MultiProof,verify,noir_rs,16,1,992.6666666666666,35.80968211717793,257321642.66666666,2509338.552263792,203399114.45751634,5291388.215916664,82979255.45404643,1809683.8198474317,MultiProof,0.9926666666666666,245.40104166666666,0.23964945475260416,0.23964945475260416,0.23964945475260416,0.9926666666666666,0.9926666666666666
1,MultiProof,verify,nargo,16,2,15513.666666666666,1711.654852279902,1127279274.6666667,36139257.838268995,499977788.7703738,161772633.60723847,164395581.85902557,66784046.85442995,MultiProof,15.513666666666666,1075.0572916666667,1.0498606363932292,1.0498606363932292,1.0498606363932292,15.513666666666666,15.513666666666666
31,MultiProof,verify,noir_rs,16,2,1934.0,15.620499351813308,267627178.66666666,7901952.980032554,202575309.80392155,5301607.6776714185,89130378.10247771,5349473.002526776,MultiProof,1.934,255.22916666666666,0.24924723307291666,0.24924723307291666,0.24924723307291666,1.934,1.934
2,MultiProof,verify,nargo,16,3,20285.0,2974.0327839484216,838609578.6666666,519678381.36051106,340158377.68486506,153142850.59386733,98218792.85212564,64498530.299810015,MultiProof,20.285,799.7604166666666,0.7810160319010416,0.7810160319010416,0.7810160319010416,20.285,20.285
32,MultiProof,verify,noir_rs,16,3,2957.0,50.46781152378217,258697898.66666666,9459.306810398526,203265755.0036311,800365.9804606738,84512190.31931143,1378776.1726703807,MultiProof,2.957,246.71354166666666,0.24093119303385416,0.24093119303385416,0.24093119303385416,2.957,2.957
